#Firmware: MS3 1.5.2 release     20211110 12:29GMT (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
0.0,0.0,0.0,0.0,0.0,2284.9622
MARK 002
1.0,1.0,0.0,1.0,126.531,2411.4932
1.0,0.0,1.0,1.0,38.203,2449.696
0.0,0.0,0.0,1.0,0.118,2449.814
1.0,0.0,0.0,1.0,12.957,2462.771
1.0,1.0,1.0,1.0,9.082,2471.853
0.0,1.0,0.0,1.0,17.892,2489.745
1.0,1.0,0.0,1.0,11.186,2500.9312
0.0,1.0,0.0,1.0,38.551,2539.4822
1.0,1.0,0.0,1.0,14.622,2554.1042
0.0,1.0,0.0,1.0,25.828,2579.9321
1.0,1.0,0.0,1.0,11.163,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
0.0,0.0,0.0,0.0,0.0,2591.0952
