//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-6-2023
//--  Time: 17:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2200 Ohms
//--    Temperature1: 31(F), 	Resistance 1: 5330 Ohms 
//--    Temperature2: 66(F), 	Resistance 2: 2380 Ohms 
//--    Temperature3: 111(F), 	Resistance 3: 1060 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
261	133.72	1337 	1.274
262	133.36	1334 	1.279
263	133.00	1330 	1.284
264	132.65	1326 	1.289
265	132.29	1323 	1.294
266	131.93	1319 	1.299
267	131.58	1316 	1.304
268	131.23	1312 	1.309
269	130.88	1309 	1.313
270	130.53	1305 	1.318
271	130.18	1302 	1.323
272	129.83	1298 	1.328
273	129.49	1295 	1.333
274	129.14	1291 	1.338
275	128.80	1288 	1.343
276	128.46	1285 	1.348
277	128.12	1281 	1.353
278	127.78	1278 	1.357
279	127.44	1274 	1.362
280	127.11	1271 	1.367
281	126.77	1268 	1.372
282	126.44	1264 	1.377
283	126.11	1261 	1.382
284	125.78	1258 	1.387
285	125.45	1254 	1.392
286	125.12	1251 	1.396
287	124.79	1248 	1.401
288	124.47	1245 	1.406
289	124.14	1241 	1.411
290	123.82	1238 	1.416
291	123.49	1235 	1.421
292	123.17	1232 	1.426
293	122.85	1229 	1.431
294	122.53	1225 	1.436
295	122.22	1222 	1.440
296	121.90	1219 	1.445
297	121.58	1216 	1.450
298	121.27	1213 	1.455
299	120.96	1210 	1.460
300	120.64	1206 	1.465
301	120.33	1203 	1.470
302	120.02	1200 	1.475
303	119.71	1197 	1.479
304	119.41	1194 	1.484
305	119.10	1191 	1.489
306	118.79	1188 	1.494
307	118.49	1185 	1.499
308	118.18	1182 	1.504
309	117.88	1179 	1.509
310	117.58	1176 	1.514
311	117.28	1173 	1.519
312	116.98	1170 	1.523
313	116.68	1167 	1.528
314	116.38	1164 	1.533
315	116.08	1161 	1.538
316	115.79	1158 	1.543
317	115.49	1155 	1.548
318	115.20	1152 	1.553
319	114.91	1149 	1.558
320	114.61	1146 	1.563
321	114.32	1143 	1.567
322	114.03	1140 	1.572
323	113.74	1137 	1.577
324	113.45	1135 	1.582
325	113.17	1132 	1.587
326	112.88	1129 	1.592
327	112.59	1126 	1.597
328	112.31	1123 	1.602
329	112.02	1120 	1.606
330	111.74	1117 	1.611
331	111.46	1115 	1.616
332	111.18	1112 	1.621
333	110.90	1109 	1.626
334	110.62	1106 	1.631
335	110.34	1103 	1.636
336	110.06	1101 	1.641
337	109.78	1098 	1.646
338	109.51	1095 	1.650
339	109.23	1092 	1.655
340	108.95	1090 	1.660
341	108.68	1087 	1.665
342	108.41	1084 	1.670
343	108.13	1081 	1.675
344	107.86	1079 	1.680
345	107.59	1076 	1.685
346	107.32	1073 	1.689
347	107.05	1071 	1.694
348	106.78	1068 	1.699
349	106.51	1065 	1.704
350	106.25	1062 	1.709
351	105.98	1060 	1.714
352	105.71	1057 	1.719
353	105.45	1054 	1.724
354	105.18	1052 	1.729
355	104.92	1049 	1.733
356	104.66	1047 	1.738
357	104.39	1044 	1.743
358	104.13	1041 	1.748
359	103.87	1039 	1.753
360	103.61	1036 	1.758
361	103.35	1034 	1.763
362	103.09	1031 	1.768
363	102.83	1028 	1.772
364	102.58	1026 	1.777
365	102.32	1023 	1.782
366	102.06	1021 	1.787
367	101.81	1018 	1.792
368	101.55	1016 	1.797
369	101.30	1013 	1.802
370	101.05	1010 	1.807
371	100.79	1008 	1.812
372	100.54	1005 	1.816
373	100.29	1003 	1.821
374	100.04	1000 	1.826
375	99.79	998 	1.831
376	99.54	995 	1.836
377	99.29	993 	1.841
378	99.04	990 	1.846
379	98.79	988 	1.851
380	98.54	985 	1.855
381	98.30	983 	1.860
382	98.05	980 	1.865
383	97.80	978 	1.870
384	97.56	976 	1.875
385	97.31	973 	1.880
386	97.07	971 	1.885
387	96.83	968 	1.890
388	96.58	966 	1.895
389	96.34	963 	1.899
390	96.10	961 	1.904
391	95.86	959 	1.909
392	95.62	956 	1.914
393	95.38	954 	1.919
394	95.14	951 	1.924
395	94.90	949 	1.929
396	94.66	947 	1.934
397	94.42	944 	1.938
398	94.18	942 	1.943
399	93.95	939 	1.948
400	93.71	937 	1.953
401	93.47	935 	1.958
402	93.24	932 	1.963
403	93.00	930 	1.968
404	92.77	928 	1.973
405	92.54	925 	1.978
406	92.30	923 	1.982
407	92.07	921 	1.987
408	91.84	918 	1.992
409	91.61	916 	1.997
410	91.37	914 	2.002
411	91.14	911 	2.007
412	90.91	909 	2.012
413	90.68	907 	2.017
414	90.45	905 	2.021
415	90.22	902 	2.026
416	90.00	900 	2.031
417	89.77	898 	2.036
418	89.54	895 	2.041
419	89.31	893 	2.046
420	89.09	891 	2.051
421	88.86	889 	2.056
422	88.63	886 	2.061
423	88.41	884 	2.065
424	88.18	882 	2.070
425	87.96	880 	2.075
426	87.73	877 	2.080
427	87.51	875 	2.085
428	87.29	873 	2.090
429	87.06	871 	2.095
430	86.84	868 	2.100
431	86.62	866 	2.104
432	86.40	864 	2.109
433	86.18	862 	2.114
434	85.96	860 	2.119
435	85.74	857 	2.124
436	85.52	855 	2.129
437	85.30	853 	2.134
438	85.08	851 	2.139
439	84.86	849 	2.144
440	84.64	846 	2.148
441	84.42	844 	2.153
442	84.20	842 	2.158
443	83.99	840 	2.163
444	83.77	838 	2.168
445	83.55	836 	2.173
446	83.34	833 	2.178
447	83.12	831 	2.183
448	82.91	829 	2.188
449	82.69	827 	2.192
450	82.48	825 	2.197
451	82.26	823 	2.202
452	82.05	820 	2.207
453	81.84	818 	2.212
454	81.62	816 	2.217
455	81.41	814 	2.222
456	81.20	812 	2.227
457	80.99	810 	2.231
458	80.77	808 	2.236
459	80.56	806 	2.241
460	80.35	804 	2.246
461	80.14	801 	2.251
462	79.93	799 	2.256
463	79.72	797 	2.261
464	79.51	795 	2.266
465	79.30	793 	2.271
466	79.09	791 	2.275
467	78.88	789 	2.280
468	78.68	787 	2.285
469	78.47	785 	2.290
470	78.26	783 	2.295
471	78.05	781 	2.300
472	77.85	778 	2.305
473	77.64	776 	2.310
474	77.43	774 	2.314
475	77.23	772 	2.319
